stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.05368929999985994,,0.020622699999876204,0.05368929999985994,0.520376099999794,0.520376099999794,0.5556888000000981,0.821815499999957,1.2255780999998933,left,-10.0,1,1,0.6947986000000128,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
1,2,8.0,1.2374316999998882,,1.2256816999997682,1.2374316999998882,1.7403387999997904,1.7403387999997904,1.7403387999997904,2.054797199999939,2.222875099999783,right,8.0,1,1,0.4705885999997008,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
2,1,6.0,2.2381015999999363,,2.2229895999998917,2.2381015999999363,2.7379164999997556,2.7379164999997556,2.7379164999997556,,2.8387324000000262,right,6.0,0,0,0.09755270000005112,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
3,1,7.0,2.854134400000021,,2.83880309999995,2.854134400000021,3.338050100000146,3.338050100000146,3.3545869999998104,3.6379329999999754,3.654933599999822,left,-7.0,0,0,0.30096729999968375,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
4,1,8.0,3.6714679000001524,,3.6550226999997903,3.6714679000001524,4.1548321000000215,4.1548321000000215,4.170827099999769,,4.288225700000112,right,8.0,0,0,0.13021759999992355,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
5,1,9.0,4.303914999999961,,4.288348000000042,4.303914999999961,4.804781700000149,4.804781700000149,4.804781700000149,,4.905450299999757,left,-9.0,0,0,0.08674589999964155,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
6,1,10.0,4.921061699999882,,4.905543800000032,4.921061699999882,5.420682999999826,5.420682999999826,5.420682999999826,,5.6562214000000495,left,-10.0,1,1,0.23124950000010358,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
7,1,10.0,5.671148500000072,,5.656314199999997,5.671148500000072,6.170522500000061,6.170522500000061,6.170522500000061,,6.204720000000179,left,-10.0,0,0,0.02087489999985337,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
8,1,11.0,6.220304800000122,,6.204811900000095,6.220304800000122,6.70385559999977,6.70385559999977,6.720490000000154,,6.938233999999738,right,11.0,0,0,0.22451809999984107,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
9,1,12.0,6.953825399999914,,6.9383177999998225,6.953825399999914,7.437213600000177,7.437213600000177,7.454373999999916,7.737164799999846,7.754250099999808,right,12.0,0,0,0.3087491000001137,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
10,1,13.0,7.769463199999791,,7.75433269999985,7.769463199999791,8.253517399999964,8.253517399999964,8.270086699999865,8.553748599999835,8.738530300000093,right,13.0,0,0,0.4835499000000709,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
